Sample Id,Site,Sample Start Date,Date,Start Time,Time,Analyte,Status,Final Result,Units,Water Treatment Plant,WTP Group,SPDES Number
E-1905678-01,Kent Manor Sewer Corporation,,1/2/2020,,11:12,"Phosphorus, Total (as P)",Done,3,µg/L,,Non-City Owned,NY0207322
E-1905678-02,THE FAIRWAYS (HILL&DALE),,1/2/2020,,10:46,"Phosphorus, Total (as P)",Failure,Error,µg/L,,Non-City Owned,NY0165719
E-1905678-02A,THE FAIRWAYS (HILL&DALE),,1/2/2020,,10:46,"Phosphorus, Total (as P)",Done,414,µg/L,,Non-City Owned,NY0165719
E-1905678-04,CARMEL STP,,1/2/2020,,10:18,"Phosphorus, Total (as P)",Done,14,µg/L,,Non-City Owned,NY0031356
G-1905504-02,PJ9,1/1/2020,1/2/2020,7:00,7:00,"Phosphorus, Total (as P)",Done,2770,µg/L,Port Jervis,City Owned - Effluent,NY0026522
E-1905678-01,Kent Manor Sewer Corporation,,1/2/2020,,11:12,Dissolved Oxygen,Done,12.2,mg/L,,Non-City Owned,NY0207322
E-1905678-01,Kent Manor Sewer Corporation,,1/2/2020,,11:12,pH,Done,7.57,,,Non-City Owned,NY0207322
E-1905678-01,Kent Manor Sewer Corporation,,1/2/2020,,11:12,Temperature,Done,8.4,C,,Non-City Owned,NY0207322
E-1905678-01,Kent Manor Sewer Corporation,,1/2/2020,,11:12,"Coliform, Fecal",Done,<1,FC/100mL,,Non-City Owned,NY0207322
E-1905678-01,Kent Manor Sewer Corporation,,1/2/2020,,11:12,CBOD,Done,<3.0,mg/L,,Non-City Owned,NY0207322
E-1905678-02,THE FAIRWAYS (HILL&DALE),,1/2/2020,,10:46,Dissolved Oxygen,Done,11.3,mg/L,,Non-City Owned,NY0165719
E-1905678-02,THE FAIRWAYS (HILL&DALE),,1/2/2020,,10:46,pH,Done,7.71,,,Non-City Owned,NY0165719
E-1905678-02,THE FAIRWAYS (HILL&DALE),,1/2/2020,,10:46,Temperature,Done,10.4,C,,Non-City Owned,NY0165719
E-1905678-02,THE FAIRWAYS (HILL&DALE),,1/2/2020,,10:46,"Coliform, Fecal",Done,<1,FC/100mL,,Non-City Owned,NY0165719
E-1905678-02,THE FAIRWAYS (HILL&DALE),,1/2/2020,,10:46,CBOD,Done,<3.0,mg/L,,Non-City Owned,NY0165719
E-1905678-04,CARMEL STP,,1/2/2020,,10:18,Dissolved Oxygen,Done,11.1,mg/L,,Non-City Owned,NY0031356
E-1905678-04,CARMEL STP,,1/2/2020,,10:18,pH,Done,6.84,,,Non-City Owned,NY0031356
E-1905678-04,CARMEL STP,,1/2/2020,,10:18,Temperature,Warning,10.6,C,,Non-City Owned,NY0031356
E-1905678-04,CARMEL STP,,1/2/2020,,10:18,"Coliform, Fecal",Done,48,FC/100mL,,Non-City Owned,NY0031356
E-1905678-04,CARMEL STP,,1/2/2020,,10:18,CBOD,Done,<3.0,mg/L,,Non-City Owned,NY0031356
G-1905504-01,PJ1,1/1/2020,1/2/2020,7:00,7:00,BOD,Done,133,mg/L,Port Jervis,City Owned - Influent,NY0026522
G-1905504-02,PJ9,1/1/2020,1/2/2020,7:00,7:00,BOD,Done,9.3,mg/L,Port Jervis,City Owned - Effluent,NY0026522
G-1905504-03,PJ9,,1/2/2020,,7:05,"Coliform, Fecal",Done,E2,FC/100mL,Port Jervis,City Owned - Effluent,NY0026522
E-1905678-01,Kent Manor Sewer Corporation,,1/2/2020,,11:12,"Solids, Total Suspended",Done,<1.0,mg/L,,Non-City Owned,NY0207322
E-1905678-01,Kent Manor Sewer Corporation,,1/2/2020,,11:12,"Chlorine Residual, Total",Done,<0.05,mg/L,,Non-City Owned,NY0207322
E-1905678-02,THE FAIRWAYS (HILL&DALE),,1/2/2020,,10:46,"Solids, Total Suspended",Done,<1.0,mg/L,,Non-City Owned,NY0165719
E-1905678-04,CARMEL STP,,1/2/2020,,10:18,"Solids, Total Suspended",Done,<1.0,mg/L,,Non-City Owned,NY0031356
G-1905504-01,PJ1,1/1/2020,1/2/2020,7:00,7:00,"Solids, Total Suspended",Done,77,mg/L,Port Jervis,City Owned - Influent,NY0026522
G-1905504-02,PJ9,1/1/2020,1/2/2020,7:00,7:00,"Solids, Total Suspended",Done,10.9,mg/L,Port Jervis,City Owned - Effluent,NY0026522
